date,keyWords
2019-03-03,"['여성경량패딩', '트위드자켓', '원피스', '여자트렌치코트', '블라우스', '핸드메이드코트', '트렌치코트', '롱원피스', '여성가디건', '여성핸드메이드코트', '쉬폰원피스', '제시뉴욕', '여성자켓', '후드집업', '써스데이아일랜드원피스', '여성야상점퍼', '레노마레이디', '키즈경량패딩', '쥬시쥬디', '남자트렌치코트']"
2019-03-04,"['트위드자켓', '여성경량패딩', '원피스', '여자트렌치코트', '블라우스', '트렌치코트', '핸드메이드코트', '롱원피스', '여성가디건', '여성핸드메이드코트', '후드집업', '쉬폰원피스', '여성자켓', '키즈경량패딩', '제시뉴욕', '여성야상점퍼', '써스데이아일랜드원피스', '남자트렌치코트', '레노마레이디', '쥬시쥬디']"
2019-03-05,"['트위드자켓', '여성경량패딩', '원피스', '여자트렌치코트', '블라우스', '트렌치코트', '롱원피스', '여성가디건', '핸드메이드코트', '후드집업', '쉬폰원피스', '키즈경량패딩', '여성자켓', '여성핸드메이드코트', '제시뉴욕', '여성야상점퍼', '남자트렌치코트', '써스데이아일랜드원피스', '레노마레이디', '쥬시쥬디']"
2019-03-06,"['트위드자켓', '원피스', '여성경량패딩', '여자트렌치코트', '블라우스', '트렌치코트', '롱원피스', '후드집업', '여성가디건', '쉬폰원피스', '핸드메이드코트', '여성자켓', '여성야상점퍼', '제시뉴욕', '남자트렌치코트', '키즈경량패딩', '써스데이아일랜드원피스', '여성핸드메이드코트', '가디건', '레노마레이디']"
2019-03-07,"['트위드자켓', '원피스', '여성경량패딩', '여자트렌치코트', '블라우스', '트렌치코트', '후드집업', '롱원피스', '여성가디건', '쉬폰원피스', '여성자켓', '핸드메이드코트', '여성야상점퍼', '남자트렌치코트', '제시뉴욕', '써스데이아일랜드원피스', '쥬시쥬디', '가디건', '키즈경량패딩', '여성핸드메이드코트']"
2019-03-08,"['트위드자켓', '원피스', '여자트렌치코트', '여성경량패딩', '블라우스', '트렌치코트', '후드집업', '롱원피스', '여성가디건', '쉬폰원피스', '여성자켓', '여성야상점퍼', '핸드메이드코트', '남자트렌치코트', '제시뉴욕', '써스데이아일랜드원피스', '가디건', '쥬시쥬디', '여성트렌치코트', '여성핸드메이드코트']"
2019-03-09,"['트위드자켓', '원피스', '여자트렌치코트', '여성경량패딩', '블라우스', '트렌치코트', '후드집업', '롱원피스', '여성가디건', '여성자켓', '쉬폰원피스', '여성야상점퍼', '남자트렌치코트', '핸드메이드코트', '제시뉴욕', '써스데이아일랜드원피스', '쥬시쥬디', '여성트렌치코트', '가디건', '롱스커트']"
2019-03-10,"['원피스', '트위드자켓', '여자트렌치코트', '블라우스', '여성경량패딩', '트렌치코트', '후드집업', '롱원피스', '여성가디건', '여성자켓', '쉬폰원피스', '여성야상점퍼', '남자트렌치코트', '써스데이아일랜드원피스', '제시뉴욕', '여성트렌치코트', '쥬시쥬디', '핸드메이드코트', '가디건', '에고이스트']"
2019-03-11,"['원피스', '트위드자켓', '여자트렌치코트', '블라우스', '트렌치코트', '여성경량패딩', '후드집업', '롱원피스', '여성가디건', '여성자켓', '여성야상점퍼', '쉬폰원피스', '남자트렌치코트', '써스데이아일랜드원피스', '여성트렌치코트', '쥬시쥬디', '제시뉴욕', '핸드메이드코트', '가디건', '에고이스트']"
2019-03-12,"['원피스', '트위드자켓', '여자트렌치코트', '블라우스', '여성경량패딩', '트렌치코트', '후드집업', '여성가디건', '롱원피스', '여성자켓', '여성야상점퍼', '쉬폰원피스', '남자트렌치코트', '여성트렌치코트', '써스데이아일랜드원피스', '제시뉴욕', '쥬시쥬디', '가디건', '핸드메이드코트', '에고이스트']"
